Date,Open Price,Close Price,High Price,Low Price,Volume,Rise,Diff of Close Price
2-Jan-09,902.99,931.8,934.73,899.35,4048270080,,
5-Jan-09,929.17,927.45,936.63,919.53,5413910016,-1,-4.35
6-Jan-09,931.17,934.7,943.85,927.28,5392620032,1,7.25
7-Jan-09,927.45,906.65,927.45,902.37,4704940032,-1,-28.05
8-Jan-09,905.73,909.73,910,896.81,4991549952,1,3.08
9-Jan-09,909.91,890.35,911.93,888.31,4716499968,-1,-19.38
12-Jan-09,890.4,870.26,890.4,864.32,4725049856,-1,-20.09
13-Jan-09,869.79,871.79,877.02,862.02,5017469952,1,1.53
14-Jan-09,867.28,842.62,867.28,836.93,5407880192,-1,-29.17
15-Jan-09,841.99,843.74,851.59,817.04,7807350272,1,1.12
16-Jan-09,844.45,850.12,858.13,830.66,6786039808,1,6.38
20-Jan-09,849.64,805.22,849.64,804.47,6375229952,-1,-44.9
21-Jan-09,806.77,840.24,841.72,804.3,6467829760,1,35.02
22-Jan-09,839.74,827.5,839.74,811.29,5843829760,-1,-12.74
23-Jan-09,822.16,831.95,838.61,806.07,5832160256,1,4.45
26-Jan-09,832.5,836.57,852.53,827.69,6039940096,1,4.62
27-Jan-09,837.3,845.71,850.45,835.4,5353260032,1,9.14
28-Jan-09,845.73,874.09,877.86,845.73,6199179776,1,28.38
29-Jan-09,868.89,845.14,868.89,844.15,5067060224,-1,-28.95
30-Jan-09,845.69,825.88,851.66,821.67,5350580224,-1,-19.26
2-Feb-09,823.09,825.44,830.78,812.87,5673269760,-1,-0.44
3-Feb-09,825.69,838.51,842.6,821.98,5886309888,1,13.07
4-Feb-09,837.77,832.23,851.85,829.18,6420449792,-1,-6.28
5-Feb-09,831.75,845.85,850.55,819.91,6624030208,1,13.62
6-Feb-09,846.09,868.6,870.75,845.42,6484100096,1,22.75
9-Feb-09,868.24,869.89,875.01,861.65,5574369792,1,1.29
10-Feb-09,866.87,827.16,868.05,822.99,6770169856,-1,-42.73
11-Feb-09,827.41,833.74,838.22,822.3,5926459904,1,6.58
12-Feb-09,829.91,835.19,835.48,808.06,6476460032,1,1.45
13-Feb-09,833.95,826.84,839.43,825.21,5296650240,-1,-8.35
17-Feb-09,818.61,789.17,818.61,789.17,5907820032,-1,-37.67
18-Feb-09,791.06,788.42,796.17,780.43,5740709888,-1,-0.75
19-Feb-09,787.91,778.94,797.58,777.03,5746939904,-1,-9.48
20-Feb-09,775.87,770.05,778.69,754.25,8210590208,-1,-8.89
23-Feb-09,773.25,743.33,777.85,742.37,6509300224,-1,-26.72
24-Feb-09,744.69,773.14,775.49,744.69,7234489344,1,29.81
25-Feb-09,770.64,764.9,780.12,752.89,7483639808,-1,-8.24
26-Feb-09,765.76,752.83,779.42,751.75,7599969792,-1,-12.07
27-Feb-09,749.93,735.09,751.27,734.52,8926480384,-1,-17.74
2-Mar-09,729.57,700.82,729.57,699.7,7868289536,-1,-34.27
3-Mar-09,704.44,696.33,711.67,692.3,7583230464,-1,-4.49
4-Mar-09,698.6,712.87,724.12,698.6,7673619968,1,16.54
5-Mar-09,708.27,682.55,708.27,677.93,7507249664,-1,-30.32
6-Mar-09,684.04,683.38,699.09,666.79,7331830272,1,0.83
9-Mar-09,680.76,676.53,695.27,672.88,7277320192,-1,-6.85
10-Mar-09,679.28,719.6,719.6,679.28,8618330112,1,43.07
11-Mar-09,719.59,721.36,731.92,713.85,7287809536,1,1.76
12-Mar-09,720.89,750.74,752.63,714.76,7326630400,1,29.38
13-Mar-09,751.97,756.55,758.29,742.46,6787089408,1,5.81
16-Mar-09,758.84,753.89,774.53,753.37,7883539968,-1,-2.66
17-Mar-09,753.88,778.12,778.12,749.93,6156800000,1,24.23
18-Mar-09,776.01,794.35,803.04,765.64,9098449920,1,16.23
19-Mar-09,797.92,784.04,803.24,781.82,9033870336,-1,-10.31
20-Mar-09,784.58,768.54,788.91,766.2,7643720192,-1,-15.5
23-Mar-09,772.31,822.92,823.37,772.31,7715769344,1,54.38
24-Mar-09,820.6,806.12,823.65,805.48,6767980032,-1,-16.8
25-Mar-09,806.81,813.88,826.78,791.37,7687179776,1,7.76
26-Mar-09,814.06,832.86,832.98,814.06,6992960000,1,18.98
27-Mar-09,828.68,815.94,828.68,813.43,5600209920,-1,-16.92
30-Mar-09,809.07,787.53,809.07,779.81,5912659968,-1,-28.41
31-Mar-09,790.88,797.87,810.48,790.88,6089099776,1,10.34
1-Apr-09,793.59,811.08,813.62,783.32,6034140160,1,13.21
2-Apr-09,814.53,834.38,845.61,814.53,7542809600,1,23.3
3-Apr-09,835.13,842.5,842.5,826.7,5855640064,1,8.12
6-Apr-09,839.75,835.48,839.75,822.79,6209999872,-1,-7.02
7-Apr-09,834.12,815.55,834.12,814.53,5155579904,-1,-19.93
8-Apr-09,816.76,825.16,828.42,814.84,5938460160,1,9.61
9-Apr-09,829.29,856.56,856.91,829.29,7600710656,1,31.4
13-Apr-09,855.33,858.73,864.31,845.35,6434890240,1,2.17
14-Apr-09,856.88,841.5,856.88,840.25,7569840128,-1,-17.23
15-Apr-09,839.44,852.06,852.93,835.58,6241099776,1,10.56
16-Apr-09,854.54,865.3,870.35,847.04,6598669824,1,13.24
17-Apr-09,865.18,869.6,875.63,860.87,7352009728,1,4.3
20-Apr-09,868.27,832.39,868.27,832.39,6973960192,-1,-37.21
21-Apr-09,831.25,850.08,850.09,826.83,7436489728,1,17.69
